Book_page,Year,Site,Nest_ID,Egg_num,Length,Width
b14.6,2014,eaba,14eabaage01,1,39.14,33.0
b14.6,2014,eaba,14eabaage01,2,41.51,33.39
b14.6,2014,eaba,14eabaage01,3,48.29,33.4
b14.6,2014,eaba,14eabaagl01,1,47.56,32.36
b14.6,2014,eaba,14eabaagl01,2,48.13,32.4
b14.6,2014,eaba,14eabaagl01,3,49.62,32.4
b14.6,2014,eaba,14eabaagl01,4,47.16,34.44
b14.6,2014,eaba,14eabaagt01,1,51.07,32.22
b14.6,2014,eaba,14eabaagt01,2,48.71,34.66
b14.6,2014,eaba,14eabaagt01,3,45.46,42.6
b14.6,2014,eaba,14eababbe01,1,55.56,35.5
b14.6,2014,eaba,14eababbe01,2,53.67,35.9
b14.6,2014,eaba,14eababbe01,3,53.51,35.95
b14.6,2014,eaba,14eababbe01,4,52.37,36.0
b14.6,2014,eaba,14eababbe02,1,55.45,35.1
b14.6,2014,eaba,14eababbe02,2,55.92,36.03
b14.6,2014,eaba,14eababbe02,3,53.4,36.1
b14.6,2014,eaba,14eababbe02,4,52.07,36.35
b14.6,2014,eaba,14eababbj01,1,51.46,34.65
b14.6,2014,eaba,14eababbj01,2,50.14,34.83
b14.6,2014,eaba,14eababbj01,3,51.18,35.32
b14.6,2014,eaba,14eababbj01,4,49.81,35.64
b14.7,2014,eaba,14eababbl02,1,48.5,35.0
b14.7,2014,eaba,14eababbl02,2,50.0,36.0
b14.7,2014,eaba,14eababbl02,3,51.5,36.0
b14.7,2014,eaba,14eababbl02,4,52.5,37.0
b14.7,2014,eaba,14eababbs01,1,50.43,35.62
b14.7,2014,eaba,14eababbs01,2,48.3,36.04
b14.7,2014,eaba,14eababbs01,3,48.35,36.14
b14.7,2014,eaba,14eababbs01,4,49.2,38.85
b14.6,2014,eaba,14eababbt01,1,48.12,35.11
b14.6,2014,eaba,14eababbt01,2,47.3,35.9
b14.6,2014,eaba,14eababbt01,3,50.55,36.41
b14.6,2014,eaba,14eababbt01,4,48.58,37.01
b14.6,2014,eaba,14eababbt02,1,48.9,34.2
b14.6,2014,eaba,14eababbt02,2,48.83,35.53
b14.6,2014,eaba,14eababbt02,3,49.76,35.58
b14.6,2014,eaba,14eababbt02,4,49.53,35.89
b14.6,2014,eaba,14eababbt03,1,52.45,34.72
b14.6,2014,eaba,14eababbt03,2,50.34,34.78
b14.6,2014,eaba,14eababbt03,3,52.2,34.78
b14.6,2014,eaba,14eababbt03,4,50.68,35.91
b14.6,2014,eaba,14eababbt04,1,50.19,33.51
b14.6,2014,eaba,14eababbt04,2,50.94,33.66
b14.6,2014,eaba,14eababbt04,3,52.23,35.56
b14.6,2014,eaba,14eababbt04,4,54.58,36.21
b14.7,2014,eaba,14eabadul01,1,36.21,25.19
b14.7,2014,eaba,14eabadul01,2,36.45,25.37
b14.7,2014,eaba,14eabadul01,3,34.93,25.98
b14.7,2014,eaba,14eabadul01,4,34.04,26.11
b14.6,2014,eaba,14eabadus03,1,37.18,24.98
b14.6,2014,eaba,14eabadus03,2,37.02,25.31
b14.6,2014,eaba,14eabadus03,3,30.89,25.35
b14.7,2014,eaba,14eabadut01/wrt05,1,34.03,24.71
b14.7,2014,eaba,14eabadut01/wrt05,2,33.94,24.79
b14.7,2014,eaba,14eabadut01/wrt05,3,32.33,24.96
b14.7,2014,eaba,14eabadut01/wrt05,4,33.63,34.36
b14.7,2014,eaba,14eabadut02,1,34.91,24.38
b14.7,2014,eaba,14eabadut02,2,36.83,24.6
b14.7,2014,eaba,14eabadut02,3,35.61,24.93
b14.7,2014,eaba,14eabadut02,4,35.71,24.97
b14.7,2014,eaba,14eabaret01,1,32.37,21.79
b14.7,2014,eaba,14eabaret01,2,32.98,22.15
b14.7,2014,eaba,14eabaret01,3,32.49,22.39
b14.7,2014,eaba,14eabaret01,4,32.53,22.47
b14.6,2014,eaba,14eabarpe01,1,31.93,21.9
b14.6,2014,eaba,14eabarpe01,2,31.98,22.23
b14.6,2014,eaba,14eabarpe01,3,32.09,22.42
b14.6,2014,eaba,14eabarpe01,4,32.99,22.56
b14.6,2014,eaba,14eabarph02,1,31.35,21.74
b14.6,2014,eaba,14eabarph02,2,31.4,22.3
b14.6,2014,eaba,14eabarph02,3,31.44,22.42
b14.6,2014,eaba,14eabarph02,4,30.63,22.44
b14.6,2014,eaba,14eabarpj01,1,32.79,22.29
b14.6,2014,eaba,14eabarpj01,2,32.28,23.11
b14.6,2014,eaba,14eabarpj01,3,31.83,23.16
b14.6,2014,eaba,14eabarpj01,4,32.24,23.28
b14.6,2014,eaba,14eabarut01,1,37.8,21.9
b14.6,2014,eaba,14eabarut01,2,39.5,26.2
b14.6,2014,eaba,14eabarut01,3,39.42,27.8
b14.6,2014,eaba,14eabarut01,4,40.3,31.0
b14.6,2014,eaba,14eabarut02,1,39.94,28.21
b14.6,2014,eaba,14eabarut02,2,41.6,29.09
b14.6,2014,eaba,14eabarut02,3,40.74,29.21
b14.6,2014,eaba,14eabarut02,4,41.85,29.32
b14.6,2014,eaba,14eabarut03,1,42.21,28.92
b14.6,2014,eaba,14eabarut03,2,44.74,28.95
b14.6,2014,eaba,14eabarut03,3,42.95,29.14
b14.6,2014,eaba,14eabarut03,4,42.43,29.29
b14.7,2014,eaba,14eabarut04,1,37.8,21.9
b14.7,2014,eaba,14eabarut04,2,39.5,26.2
b14.7,2014,eaba,14eabarut04,3,39.42,27.8
b14.7,2014,eaba,14eabarut04,4,40.3,31.0
b14.7,2014,eaba,14eabarut05,1,41.78,28.64
b14.7,2014,eaba,14eabarut05,2,39.4,28.8
b14.7,2014,eaba,14eabarut05,3,42.3,29.66
b14.7,2014,eaba,14eabarut06,1,26.92,39.5
b14.7,2014,eaba,14eabarut06,2,27.59,39.95
b14.7,2014,eaba,14eabarut06,3,27.47,40.77
b14.7,2014,eaba,14eabarut06,4,27.72,41.04
b14.7,2014,eaba,14eabasepll01,1,31.58,23.09
b14.7,2014,eaba,14eabasepll01,2,30.81,23.65
b14.7,2014,eaba,14eabasepll01,3,33.55,23.94
b14.7,2014,eaba,14eabasepll01,4,31.4,24.46
b14.6,2014,eaba,14eabaspe01,1,32.86,23.78
b14.6,2014,eaba,14eabaspe01,2,34.88,24.06
b14.6,2014,eaba,14eabaspe01,3,32.73,24.18
b14.6,2014,eaba,14eabaspe01,4,32.3,24.25
b14.7,2014,eaba,14eabaspe02,1,32.28,23.63
b14.7,2014,eaba,14eabaspe02,2,33.53,24.1
b14.7,2014,eaba,14eabaspe02,3,35.72,24.18
b14.7,2014,eaba,14eabaspe02,4,32.8,24.27
b14.6,2014,eaba,14eabaspj01,1,34.14,23.52
b14.6,2014,eaba,14eabaspj01,2,34.16,24.08
b14.6,2014,eaba,14eabaspj01,3,33.24,24.1
b14.6,2014,eaba,14eabasps01,1,33.79,23.49
b14.6,2014,eaba,14eabasps01,2,32.5,23.65
b14.6,2014,eaba,14eabasps01,3,32.56,23.79
b14.6,2014,eaba,14eabasps01,4,34.08,23.98
b14.7,2014,eaba,14eabasps03,1,32.86,23.05
b14.7,2014,eaba,14eabasps03,2,33.6,23.95
b14.7,2014,eaba,14eabasps03,3,32.02,24.07
b14.7,2014,eaba,14eabasps04,1,35.0,22.0
b14.7,2014,eaba,14eabasps04,2,25.0,24.0
b14.7,2014,eaba,14eabasps04,3,34.2,25.1
b14.6,2014,eaba,14eabaspt01,1,32.02,21.94
b14.6,2014,eaba,14eabaspt01,2,31.9,22.7
b14.6,2014,eaba,14eabaspt01,3,32.01,23.96
b14.6,2014,eaba,14eabaspt01,4,31.79,33.6
b14.6,2014,eaba,14eabaspt02,1,33.09,23.81
b14.6,2014,eaba,14eabaspt02,2,34.25,24.11
b14.6,2014,eaba,14eabaspt02,3,31.53,24.48
b14.6,2014,eaba,14eabaspt02,4,35.01,24.82
b14.6,2014,eaba,14eabawre02,1,32.9,23.34
b14.6,2014,eaba,14eabawre02,2,33.32,23.53
b14.7,2014,eaba,14eabawre03,1,35.32,23.77
b14.7,2014,eaba,14eabawre03,2,34.77,24.26
b14.7,2014,eaba,14eabawre03,3,34.26,24.47
b14.7,2014,eaba,14eabawre03,4,36.08,24.47
b14.6,2014,eaba,14eabawrh01,1,33.25,23.85
b14.6,2014,eaba,14eabawrh01,2,33.17,23.94
b14.6,2014,eaba,14eabawrh01,3,33.59,24.15
b14.6,2014,eaba,14eabawrh01,4,32.83,24.32
b14.7,2014,eaba,14eabawrj02,1,31.21,24.23
b14.7,2014,eaba,14eabawrj02,2,31.96,24.39
b14.7,2014,eaba,14eabawrj02,3,31.11,24.52
b14.7,2014,eaba,14eabawrj02,4,31.3,24.6
b14.6,2014,eaba,14eabawrs01,1,33.64,22.92
b14.6,2014,eaba,14eabawrs01,2,32.12,23.15
b14.6,2014,eaba,14eabawrs01,3,32.59,23.26
b14.6,2014,eaba,14eabawrs01,4,34.15,24.18
b14.6,2014,eaba,14eabawrs03,1,33.46,23.44
b14.6,2014,eaba,14eabawrs03,2,32.25,23.49
b14.6,2014,eaba,14eabawrs03,3,32.92,24.1
b14.6,2014,eaba,14eabawrs03,4,32.13,24.11
b14.7,2014,eaba,14eabawrs05,1,31.95,23.68
b14.7,2014,eaba,14eabawrs05,2,32.7,24.35
b14.7,2014,eaba,14eabawrs06,1,31.6,22.58
b14.7,2014,eaba,14eabawrs06,2,31.6,23.13
b14.7,2014,eaba,14eabawrs06,3,32.18,23.13
b14.7,2014,eaba,14eabawrs06,4,32.15,23.25
b14.7,2014,eaba,14eabawrsal01,1,32.59,23.81
b14.7,2014,eaba,14eabawrsal01,2,33.54,23.91
b14.7,2014,eaba,14eabawrsal01,3,31.96,24.17
b14.7,2014,eaba,14eabawrsal01,4,33.27,24.47
b14.6,2014,eaba,14eabawrt01,1,34.96,22.23
b14.6,2014,eaba,14eabawrt01,2,34.7,23.16
b14.6,2014,eaba,14eabawrt01,3,34.48,23.62
b14.6,2014,eaba,14eabawrt01,4,33.95,23.77
b14.6,2014,eaba,14eabawrt02,1,33.1,23.59
b14.6,2014,eaba,14eabawrt02,2,33.1,23.66
b14.6,2014,eaba,14eabawrt02,3,34.19,24.0
b14.6,2014,eaba,14eabawrt02,4,33.69,24.06
b14.7,2014,eaba,14eabawrw01,1,33.0,23.75
b14.7,2014,eaba,14eabawrw01,2,33.0,24.0
b14.7,2014,eaba,14eabawrw01,3,34.0,24.0
b14.6,2014,chur,14PB01,1,32.6,24.1
b14.6,2014,chur,14PB02,1,31.9,24.0
b14.6,2014,chur,14LL01,1,33.8,24.5
b14.6,2014,chur,14LL02,1,32.9,24.7
b14.6,2014,chur,14LL02,2,32.6,24.4
b14.6,2014,chur,14LL02,3,33.8,25.0
b14.6,2014,chur,14MP02,1,32.8,23.4
b14.6,2014,chur,14MP02,2,32.4,23.7
b14.6,2014,chur,14MP02,3,32.1,22.8
b14.6,2014,chur,14MP02,4,32.0,23.7
b14.6,2014,chur,14DB01,1,33.4,23.9
b14.6,2014,chur,14DB01,2,32.5,24.6
b14.6,2014,chur,14DB01,3,32.3,24.7
b14.6,2014,chur,14DB01,4,32.3,24.5
b14.6,2014,chur,14BB01,1,31.3,24.0
b14.6,2014,chur,14BB01,2,32.2,24.0
b14.6,2014,chur,14BB01,3,32.8,23.7
b14.6,2014,chur,14BB01,4,31.9,24.1
b14.6,2014,chur,14TL02,1,32.3,23.2
b14.6,2014,chur,14TL02,2,31.4,23.5
b14.6,2014,chur,14TL02,3,33.0,23.2
b14.6,2014,chur,14TL02,4,32.2,23.3
b14.6,2014,chur,14LL03,1,31.9,23.6
b14.6,2014,chur,14LL03,2,32.1,23.9
b14.6,2014,chur,14LL03,3,31.6,24.1
b14.6,2014,chur,14LL03,4,31.6,24.1
b14.6,2014,chur,14PB02,2,33.3,24.6
b14.6,2014,chur,14PB02,3,32.0,24.1
b14.6,2014,chur,14PB02,4,33.6,25.1
b14.6,2014,chur,14PB02,5,32.6,23.9
b14.6,2014,chur,14PB03,1,33.2,24.6
b14.6,2014,chur,14PB03,2,32.9,24.0
b14.6,2014,chur,14PB03,3,31.6,23.8
b14.6,2014,chur,14PB03,4,33.7,24.7
b14.6,2014,chur,14EP01,1,31.6,24.5
b14.6,2014,chur,14EP01,2,32.1,24.0
b14.6,2014,chur,14EP01,3,32.1,24.4
b14.6,2014,chur,14EP01,4,32.5,24.6
b14.6,2014,chur,14EP02,1,32.7,24.4
b14.6,2014,chur,14EP02,2,32.0,23.9
b14.6,2014,chur,14EP02,3,33.4,24.0
b14.6,2014,chur,14EP02,4,32.6,24.3
b14.6,2014,chur,14EP03,1,32.0,24.6
b14.6,2014,chur,14EP03,2,32.0,24.4
b14.6,2014,chur,14EP03,3,32.8,24.6
b14.6,2014,chur,14MP04,1,34.9,24.8
b14.6,2014,chur,14MP04,2,33.2,24.4
b14.6,2014,chur,14MP04,3,34.2,24.8
b14.6,2014,chur,14MP04,4,33.0,25.0
b14.6,2014,chur,14BC01,1,30.6,24.1
b14.6,2014,chur,14BC01,2,32.9,25.3
b14.6,2014,chur,14BC01,3,30.8,24.5
b14.6,2014,chur,14BC01,4,31.6,24.8
b14.6,2014,chur,14GB01,1,33.6,23.5
b14.6,2014,chur,14GB01,2,33.6,24.1
b14.6,2014,chur,14GB01,3,32.7,23.5
b14.6,2014,chur,14GB01,4,34.6,24.0
b14.6,2014,chur,14PR01,1,32.6,24.1
b14.6,2014,chur,14PR01,2,33.9,25.0
b14.6,2014,chur,14PR01,3,34.0,25.1
b14.6,2014,chur,14PR01,4,32.6,24.5
b14.6,2014,chur,14GB02,1,33.3,24.4
b14.6,2014,chur,14GB02,2,33.1,24.3
b14.6,2014,chur,14GB02,3,31.8,24.5
b14.6,2014,chur,14GB02,4,33.0,23.8
b14.6,2014,chur,14GB03,1,32.1,23.6
b14.6,2014,chur,14GB03,2,31.4,24.0
b14.6,2014,chur,14GB03,3,32.3,23.5
b14.6,2014,chur,14GB03,4,31.5,23.5
b14.6,2014,chur,14MP05,1,31.7,24.4
b14.6,2014,chur,14MP05,2,32.1,24.1
b14.6,2014,chur,14MP05,3,32.0,24.8
b14.6,2014,chur,14MP05,4,31.1,24.8
b14.6,2014,chur,14DB02,1,33.3,23.8
b14.6,2014,chur,14DB02,2,31.9,23.1
b14.6,2014,chur,14DB02,3,32.2,23.3
b14.6,2014,chur,14LL04,1,32.5,23.8
b14.6,2014,chur,14LL04,2,32.6,24.4
b14.6,2014,chur,14LL04,3,32.2,23.8
b14.6,2014,chur,14LL04,4,32.2,24.1
b14.7,2014,chur,14PR02,1,34.2,24.3
b14.7,2014,chur,14PR02,2,32.2,23.9
b14.7,2014,chur,14PR02,3,33.2,24.2
b14.7,2014,chur,14PR02,4,31.8,24.3
b14.7,2014,chur,14CD01,1,33.2,24.1
b14.7,2014,chur,14CD01,2,33.5,24.1
b14.7,2014,chur,14CD01,3,33.3,24.7
b14.7,2014,chur,14CD01,4,33.6,24.2
b14.7,2014,chur,14PB04,1,34.1,24.3
b14.7,2014,chur,14PB04,2,34.6,23.7
b14.7,2014,chur,14PB04,3,34.4,24.2
b14.7,2014,chur,14EP04,1,32.3,24.9
b14.7,2014,chur,14EP04,2,32.7,24.3
b14.7,2014,chur,14EP04,3,31.7,24.6
b13.6,2013,chur,13PR01,1,33.93,22.77
b13.6,2013,chur,13PR01,2,31.53,22.51
b13.6,2013,chur,13PR01,3,32.09,22.79
b13.6,2013,chur,13PR01,4,30.52,22.83
b13.6,2013,chur,13DB01,1,34.61,24.77
b13.6,2013,chur,13DB01,2,31.23,25.0
b13.6,2013,chur,13DB01,3,32.23,24.69
b13.6,2013,chur,13DB01,4,31.4,25.61
b13.6,2013,chur,13LL01,1,31.57,22.85
b13.6,2013,chur,13LL01,2,31.8,22.87
b13.6,2013,chur,13LL01,3,30.07,23.24
b13.6,2013,chur,13LL01,4,31.08,22.69
b13.6,2013,chur,13MP01,1,33.16,24.75
b13.6,2013,chur,13MP01,2,33.96,24.7
b13.6,2013,chur,13MP01,3,32.98,24.03
b13.6,2013,chur,13MP01,4,32.27,24.21
b13.6,2013,chur,13PR02,1,33.16,24.75
b13.6,2013,chur,13PR02,2,33.96,24.7
b13.6,2013,chur,13PR02,3,32.98,24.03
b13.6,2013,chur,13PR02,4,32.27,24.21
b13.6,2013,chur,13PR03,1,31.73,22.78
b13.6,2013,chur,13PR03,2,34.2,23.03
b13.6,2013,chur,13PR03,3,32.99,22.82
b13.6,2013,chur,13PR03,4,33.47,23.05
b13.6,2013,chur,13LL02,1,31.52,23.41
b13.6,2013,chur,13LL02,2,31.44,25.1
b13.6,2013,chur,13LL02,3,30.2,24.25
b13.6,2013,chur,13LL02,4,30.93,24.96
b13.6,2013,chur,13LL03,1,31.6,24.53
b13.6,2013,chur,13LL03,2,32.01,24.06
b13.6,2013,chur,13LL03,3,31.86,23.59
b13.6,2013,chur,13LL03,4,31.72,23.72
b13.6,2013,chur,13MP03,1,32.69,24.46
b13.6,2013,chur,13MP03,2,32.52,23.72
b13.6,2013,chur,13MP03,3,30.94,24.11
b13.6,2013,chur,13MP03,4,32.16,24.2
b13.6,2013,chur,13HP01,1,32.84,24.67
b13.6,2013,chur,13HP01,2,31.26,24.38
b13.6,2013,chur,13HP01,3,31.78,24.82
b13.6,2013,chur,13HP01,4,31.8,24.46
b13.6,2013,chur,13GB01,1,34.13,23.84
b13.6,2013,chur,13GB01,2,33.44,24.56
b13.6,2013,chur,13GB01,3,34.17,24.45
b13.6,2013,chur,13GB01,4,33.15,24.74
b13.6,2013,chur,13TL01,1,31.5,24.51
b13.6,2013,chur,13TL01,2,31.69,24.26
b13.6,2013,chur,13TL01,3,31.74,23.83
b13.6,2013,chur,13TL01,4,30.3,24.21
b13.6,2013,chur,13BC01,1,32.86,23.67
b13.6,2013,chur,13BC01,2,32.99,23.43
b13.6,2013,chur,13BC01,3,33.31,22.23
b13.6,2013,chur,13BC01,4,31.45,23.52
b13.6,2013,chur,13MP04,1,31.08,24.31
b13.6,2013,chur,13MP04,2,31.7,23.69
b13.6,2013,chur,13MP04,3,32.26,23.78
b13.6,2013,chur,13MP06,1,33.13,23.72
b13.6,2013,chur,13MP06,2,32.77,24.05
b13.6,2013,chur,13MP06,3,33.52,23.94
b13.6,2013,chur,13MP06,4,32.72,24.38
b13.6,2013,chur,13GB02,1,32.89,25.51
b13.6,2013,chur,13GB02,2,32.45,24.64
b13.6,2013,chur,13GB02,3,32.54,24.76
b13.6,2013,chur,13GB02,4,33.65,24.97
b13.6,2013,chur,13LL04,1,30.47,23.62
b13.6,2013,chur,13LL04,2,33.46,24.05
b13.6,2013,chur,13LL04,3,33.18,24.21
b13.6,2013,chur,13LL04,4,32.42,24.08
b13.6,2013,chur,13GB03,1,31.87,24.02
b13.6,2013,chur,13GB03,2,33.14,24.47
b13.6,2013,chur,13GB03,3,34.56,23.38
b13.6,2013,chur,13GB03,4,32.95,23.91
b13.6,2013,chur,13GB04,1,31.69,24.62
b13.6,2013,chur,13GB04,2,31.98,24.11
b13.6,2013,chur,13GB04,3,32.19,23.72
b13.6,2013,chur,13GB04,4,31.56,24.31
b13.6,2013,chur,13MP01R,1,32.04,22.92
b13.6,2013,chur,13MP01R,2,31.22,23.08
b13.6,2013,chur,13MP01R,3,31.23,23.48
b13.6,2013,chur,13MP01R,4,31.81,22.8
b13.6,2013,chur,13MP02R,1,32.18,24.64
b13.6,2013,chur,13MP02R,2,33.4,24.23
b13.6,2013,chur,13MP02R,3,31.14,25.33
b13.6,2013,chur,13MP02R,4,32.34,24.53
b13.6,2013,chur,13HP02,1,32.47,24.32
b13.6,2013,chur,13HP02,2,32.75,23.7
b13.6,2013,chur,13HP02,3,28.49,23.33
b13.6,2013,chur,13HP02,4,32.9,23.31
b13.6,2013,chur,13GB05,1,31.84,24.85
b13.6,2013,chur,13GB05,2,32.5,23.5
b13.6,2013,chur,13GB05,3,31.12,23.99
b13.6,2013,chur,13GB05,4,33.87,24.48
b13.6,2013,chur,13PR04,1,32.58,23.91
b13.6,2013,chur,13PR04,2,34.72,23.65
b13.6,2013,chur,13PR04,3,33.18,28.86
b13.6,2013,chur,13PR04,4,33.9,23.74
b13.6,2013,chur,13MP05R,1,31.23,24.21
b13.6,2013,chur,13MP05R,2,30.63,24.24
b13.6,2013,chur,13MP05R,3,31.75,23.39
b13.6,2013,chur,13BC02,1,31.24,24.67
b13.6,2013,chur,13BC02,2,32.51,24.06
b13.6,2013,chur,13BC02,3,31.35,24.58
b13.6,2013,chur,13BC02,4,30.86,24.96
b13.6,2013,chur,13PB01,1,31.16,24.72
b13.6,2013,chur,13PB01,2,34.18,23.87
b13.6,2013,chur,13PB01,3,33.57,24.44
b13.6,2013,chur,13PB01,4,32.91,24.28
b13.6,2013,chur,13PB02,1,33.05,23.01
b13.6,2013,chur,13PB02,2,32.88,23.22
b13.6,2013,chur,13PB02,3,32.36,23.23
b13.6,2013,chur,13PB02,4,31.95,23.48
b13.6,2013,chur,13PB03,1,33.16,24.03
b13.6,2013,chur,13PB03,2,34.41,24.16
b13.6,2013,chur,13PB03,3,32.66,24.17
b13.6,2013,chur,13PB03,4,33.16,24.15
b13.6,2013,chur,13BB01,1,33.87,23.84
b13.6,2013,chur,13BB01,2,33.01,24.4
b13.6,2013,chur,13BB01,3,32.95,24.48
b13.6,2013,chur,13BB01,4,33.58,24.42
b13.6,2013,chur,13EP01,1,31.1,23.87
b13.6,2013,chur,13EP01,2,31.67,23.37
b13.6,2013,chur,13EP01,3,31.15,23.51
b13.6,2013,chur,13EP01,4,31.25,23.53
b13.6,2013,chur,13EP02,1,32.93,24.14
b13.6,2013,chur,13EP02,2,32.73,24.0
b13.6,2013,chur,13EP03,1,34.0,23.61
b13.6,2013,chur,13EP03,2,35.01,23.54
b13.6,2013,chur,13EP03,3,34.6,23.93
b13.6,2013,chur,13EP03,4,35.33,23.64
b13.6,2013,chur,13PB04,1,31.02,23.59
b13.6,2013,chur,13PB04,2,32.8,23.32
b13.6,2013,chur,13PB04,3,29.98,24.14
b13.6,2013,chur,13PB04,4,32.48,22.95
b13.6,2013,chur,13PB04,5,32.74,25.58
b13.6,2013,chur,13PB05,1,33.22,24.27
b13.6,2013,chur,13PB05,2,33.96,24.11
b13.6,2013,chur,13PB05,3,35.09,23.44
