Year,Site,Observer,Start,End
2005,bylo,lmckinnon,2005-06-01,2005-08-05
2005,bylo,blalibert,2005-06-01,2005-08-20
2006,bylo,lmckinnon,2006-06-01,2006-08-05
2006,bylo,ljolicoeur,2006-06-01,2006-08-20
2007,bylo,lmckinnon,2007-06-01,2007-08-05
2007,bylo,ljolicoeur,2007-06-01,2007-08-20
2008,bylo,edastrous,2008-06-01,2008-08-05
2008,bylo,lmckinnon,2008-06-01,2008-08-05
2008,bylo,mpatenaude-monette,2008-06-01,2008-08-20
2009,bylo,jflamarre,2009-06-01,2009-08-05
2009,bylo,lmckinnon,2009-06-01,2009-08-05
2009,bylo,lmercier,2009-06-01,2009-08-05
2010,barr,mbwunder,2010-06-28,2010-07-01
2010,barr,lworing,2010-06-18,2010-06-25
2010,barr,rlanctot,2010-06-20,2010-07-05
2010,barr,cjrguerra,2010-07-01,2010-07-16
2010,barr,bhill,2010-05-25,2010-07-15
2010,barr,radugan,2010-05-26,2010-07-31
2010,barr,adoll,2010-05-25,2010-07-31
2010,barr,arbankert,2010-05-25,2010-07-31
2010,barr,yhhsu,2010-05-25,2010-07-31
2010,barr,myyang,2010-06-01,2010-08-10
2010,bylo,echalifour,2010-06-01,2010-07-19
2010,bylo,jflamarre,2010-06-01,2010-08-05
2010,bylo,pbertrand,2010-06-05,2010-08-20
2010,cakr,sbuckell,2010-06-10,2010-06-29
2010,cari,skendall,2010-06-24,2010-06-28
2010,cari,skendall,2010-06-03,2010-06-09
2010,cari,abaltensperger,2010-06-24,2010-07-07
2010,cari,bharrington,2010-06-03,2010-06-24
2010,cari,mmcgarvey,2010-06-03,2010-06-24
2010,cari,sbrown,2010-06-03,2010-06-24
2010,cari,ecorp,2010-06-04,2010-07-07
2010,cari,cwoodworth,2010-06-03,2010-07-11
2010,cari,hcraig,2010-06-03,2010-07-11
2010,cari,sfreeman,2010-06-03,2010-07-11
2010,chur,lmckinnon,2010-06-01,2010-06-17
2010,chur,jrjulian,2010-06-18,2010-07-26
2010,chur,frousseaux,2010-06-01,2010-07-26
2010,chur,nrsenner,2010-06-08,2010-08-03
2010,chur,asjohnson,2010-06-01,2010-07-27
2010,chur,jcoughlan,2010-06-04,2010-08-01
2010,chur,bmwalker,2010-05-25,2010-07-22
2010,chur,smbillerman,2010-05-25,2010-07-27
2010,chur,acorkery,2010-05-14,2010-08-12
2010,eaba,dedwards,2010-06-02,2010-06-23
2010,eaba,psmith,2010-06-02,2010-06-23
2010,eaba,atufts,2010-06-02,2010-07-25
2010,eaba,dmcgeachy,2010-06-02,2010-07-25
2010,eaba,kbertrand,2010-06-02,2010-07-25
2010,eaba,mchown,2010-06-02,2010-07-25
2010,ikpi,jliebezeit,2010-06-21,2010-06-22
2010,ikpi,jliebezeit,2010-06-08,2010-06-20
2010,ikpi,jliebezeit,2010-06-04,2010-07-06
2010,ikpi,amines,2010-06-09,2010-07-13
2010,ikpi,cbishop,2010-06-09,2010-07-13
2010,ikpi,csmith,2010-06-09,2010-07-13
2010,ikpi,kpietrzak,2010-06-09,2010-07-13
2010,ikpi,mmudge,2010-06-09,2010-07-13
2010,ikpi,ncook,2010-06-09,2010-07-13
2010,ikpi,vjirinec,2010-06-09,2010-07-13
2010,ikpi,jkelso,2010-06-09,2010-07-17
2010,ikpi,lyen,2010-06-09,2010-07-17
2010,ikpi,aperry,2010-06-04,2010-07-18
2010,ikpi,brobinson,2010-06-04,2010-07-18
2010,ikpi,zlebrun-southcott,2010-06-04,2010-07-18
2010,made,cgratto-trevor,2010-06-09,2010-06-15
2010,made,sskinner,2010-06-29,2010-07-07
2010,made,sbuckell,2010-06-10,2010-06-29
2010,made,knuyaviak,2010-06-09,2010-07-07
2010,made,kjones,2010-06-09,2010-07-07
2010,nome,tstclair,2010-06-15,2010-07-15
2010,nome,ijong,2010-05-11,2010-06-23
2010,nome,nhentze,2010-05-11,2010-06-23
2010,prba,jliebezeit,2010-06-21,2010-06-22
2010,prba,jliebezeit,2010-06-08,2010-06-20
2010,prba,jliebezeit,2010-06-04,2010-07-06
2010,prba,amines,2010-06-09,2010-07-13
2010,prba,cbishop,2010-06-09,2010-07-13
2010,prba,csmith,2010-06-09,2010-07-13
2010,prba,kpietrzak,2010-06-09,2010-07-13
2010,prba,mmudge,2010-06-09,2010-07-13
2010,prba,ncook,2010-06-09,2010-07-13
2010,prba,vjirinec,2010-06-09,2010-07-13
2010,prba,jkelso,2010-06-09,2010-07-17
2010,prba,lyen,2010-06-09,2010-07-17
2010,prba,aperry,2010-06-04,2010-07-18
2010,prba,brobinson,2010-06-04,2010-07-18
2010,prba,zlebrun-southcott,2010-06-04,2010-07-18
2011,barr,dkessler,2011-06-24,2011-07-01
2011,barr,ssaalfeld,2011-06-27,2011-07-02
2011,barr,abankert,2011-06-20,2011-07-01
2011,barr,rlanctot,2011-06-20,2011-07-05
2011,barr,abankert,2011-05-30,2011-06-14
2011,barr,bhill,2011-05-27,2011-07-10
2011,barr,jzamuido,2011-06-01,2011-08-01
2011,barr,adoll,2011-05-27,2011-07-28
2011,barr,rlanctot,2011-06-04,2011-08-06
2011,barr,pherzog,2011-05-28,2011-08-01
2011,barr,jcunningham,2011-05-27,2011-08-01
2011,bylo,echalifour,2011-06-20,2011-07-19
2011,bylo,jflamarre,2011-06-01,2011-08-05
2011,bylo,jotis,2011-06-01,2011-08-05
2011,bylo,lpaquette,2011-06-01,2011-08-21
2011,cakr,lpadegimas,2011-05-27,
2011,cakr,mvheyden,2011-05-27,
2011,cakr,rgates,2011-05-27,
2011,cakr,ssapora,2011-05-27,
2011,cari,mboldenow,2011-06-14,2011-06-25
2011,cari,sbrown,2011-06-02,2011-06-09
2011,cari,ecorp,2011-06-02,2011-06-14
2011,cari,ohicks,2011-06-02,2011-06-14
2011,cari,sfreeman,2011-06-02,2011-06-14
2011,cari,rchurchwell,2011-06-09,2011-06-25
2011,cari,bwinn,2011-06-02,2011-06-25
2011,cari,rburner,2011-06-02,2011-06-25
2011,chur,lmckinnon,2011-06-18,2011-07-16
2011,chur,clishman,2011-06-11,2011-07-21
2011,chur,edastrous,2011-06-08,2011-07-29
2011,chur,hbatcheller,2011-06-02,2011-08-02
2011,chur,ajohnson,2011-05-26,2011-07-27
2011,chur,mmcconnell,2011-05-26,2011-07-27
2011,chur,hspecht,2011-05-22,2011-08-02
2011,colv,bwilkinson,2011-05-24,2011-08-03
2011,eaba,cmorcos,2011-06-10,2011-07-25
2011,eaba,mmccloskey,2011-06-10,2011-07-25
2011,eaba,mvezina,2011-06-10,2011-07-25
2011,eaba,mharing,2011-06-10,2011-07-25
2011,ikpi,jliebezeit,2011-06-21,2011-06-22
2011,ikpi,jliebezeit,2011-06-08,2011-06-20
2011,ikpi,jliebezeit,2011-06-04,2011-07-06
2011,ikpi,amines,2011-06-09,2011-07-13
2011,ikpi,cbishop,2011-06-09,2011-07-13
2011,ikpi,csmith,2011-06-09,2011-07-13
2011,ikpi,kpietrzak,2011-06-09,2011-07-13
2011,ikpi,mmudge,2011-06-09,2011-07-13
2011,ikpi,ncook,2011-06-09,2011-07-13
2011,ikpi,vjirinec,2011-06-09,2011-07-13
2011,ikpi,jkelso,2011-06-09,2011-07-17
2011,ikpi,lyen,2011-06-09,2011-07-17
2011,ikpi,aperry,2011-06-04,2011-07-18
2011,ikpi,brobinson,2011-06-04,2011-07-18
2011,ikpi,zlebrun-southcott,2011-06-04,2011-07-18
2011,made,kkardynal,2011-06-27,2011-07-04
2011,made,vamarualik,2011-06-12,2011-07-12
2011,made,knuyaviak,2011-06-04,2011-07-12
2011,made,lpirie,2011-06-04,2011-07-12
2011,made,mmichaud,2011-06-04,2011-07-12
2011,made,sskinner,2011-06-04,2011-07-12
2011,nome,sfranks,2011-05-12,2011-05-27
2011,nome,bksandercock,2011-05-12,2011-07-06
2011,nome,dblank,2011-06-03,2011-08-06
2011,nome,tesson,2011-05-21,2011-07-25
2011,nome,mwilson,2011-05-13,2011-07-20
2011,nome,wenglish,2011-05-13,2011-07-20
2011,nome,eescajeda,2011-05-12,2011-07-25
2011,nome,ekwon,2011-05-12,2011-07-25
2011,prba,chojnowski,2011-06-03,2011-06-24
2011,prba,skolbe,2011-06-03,2011-07-18
2012,barr,rlanctot,2012-05-31,2012-06-03
2012,barr,dsaalfeld,2012-06-25,2012-07-06
2012,barr,rlanctot,2012-06-25,2012-07-06
2012,barr,ssaalfeld,2012-06-20,2012-07-06
2012,barr,bverheijen,2012-05-26,2012-07-16
2012,barr,kgrond,2012-05-26,2012-07-16
2012,barr,mmcconnell,2012-06-02,2012-08-01
2012,barr,bhill,2012-06-01,2012-08-01
2012,barr,pherzog,2012-06-01,2012-08-02
2012,barr,jcunningham,2012-05-24,2012-08-03
2012,burn,dfillman,2012-06-06,2012-06-22
2012,burn,jbrunjes,2012-06-06,2012-06-22
2012,burn,kabraham,2012-06-06,2012-06-22
2012,burn,kbennett,2012-06-06,2012-06-22
2012,burn,mpeck,2012-06-06,2012-06-22
2012,burn,mburrell,2012-06-06,2012-06-22
2012,burn,jiron,2012-06-22,2012-07-18
2012,burn,jsauer,2012-06-22,2012-07-18
2012,burn,jbelliveau,2012-06-06,2012-07-18
2012,burn,mbirarda,2012-06-06,2012-07-18
2012,bylo,cdoucet,2012-06-22,2012-07-21
2012,bylo,fsgagnon,2012-06-12,2012-08-04
2012,bylo,jflamarre,2012-06-07,2012-08-04
2012,bylo,proyer-boutin,2012-06-07,2012-08-04
2012,bylo,djleandry,2012-06-12,2012-08-21
2012,bylo,mtrudel,2012-06-07,2012-08-05
2012,bylo,jflamarre,2012-06-01,2012-08-05
2012,bylo,cdoucet,2012-06-01,2012-08-05
2012,bylo,proyer-boutin,2012-06-07,2012-08-21
2012,cakr,edastrous,2012-05-16,2012-07-09
2012,cakr,mvheyden,2012-05-16,2012-07-09
2012,cakr,rgates,2012-05-16,2012-07-09
2012,cakr,svissault,2012-05-16,2012-07-09
2012,cari,bwinn,2012-06-02,2012-07-02
2012,cari,mlafaver,2012-06-02,2012-07-02
2012,cari,epierce,2012-06-03,2012-07-09
2012,cari,idavies,2012-06-03,2012-07-09
2012,cari,akneidel,2012-06-02,2012-07-09
2012,cari,lkoloski,2012-06-02,2012-07-09
2012,cari,asoto,2012-06-03,2012-07-17
2012,cari,sfreeman,2012-06-02,2012-07-17
2012,chau,jliebezeit,2012-06-20,2012-06-26
2012,chau,gsolovyev,2012-06-15,2012-07-10
2012,chau,vkokhanova,2012-06-15,2012-07-10
2012,chau,mettuvgii,2012-05-15,2012-07-22
2012,chau,gdanilov,2012-06-06,2012-08-29
2012,chau,gpavlyukov,2012-05-22,2012-08-29
2012,chau,svartanyan,2012-05-15,2012-08-29
2012,chur,enol,2012-06-13,2012-06-21
2012,chur,fsanders,2012-06-18,2012-06-28
2012,chur,mjones,2012-06-10,2012-06-29
2012,chur,acorkery,2012-06-01,2012-06-21
2012,chur,lmckinnon,2012-06-01,2012-06-21
2012,chur,dgough,2012-06-19,2012-07-25
2012,chur,clahoda,2012-06-13,2012-08-06
2012,chur,cbrunner,2012-06-13,2012-08-06
2012,chur,ajohnson,2012-06-01,2012-07-25
2012,chur,jperz,2012-06-01,2012-07-25
2012,chur,oguy,,
2012,colv,jhupp,2012-05-23,2012-06-03
2012,colv,msmith,2012-06-21,2012-08-07
2012,colv,vbaranyuk,2012-06-10,2012-08-10
2012,colv,dward,2012-06-01,2012-08-05
2012,colv,jkorol,2012-06-01,2012-08-05
2012,colv,dpavlik,2012-05-18,2012-07-27
2012,colv,bwilkinson,2012-05-23,2012-08-05
2012,colv,khogrefe,2012-05-18,2012-08-12
2012,colv,tdonnelly,2012-05-18,2012-08-12
2012,eaba,psmith,2012-06-17,2012-06-30
2012,eaba,mjones,2012-06-10,2012-06-29
2012,eaba,ggilchrist,2012-06-01,2012-06-30
2012,eaba,akataluk-primeau,2012-06-01,2012-07-27
2012,eaba,kaward,2012-06-01,2012-07-27
2012,eaba,mmccloskey,2012-06-01,2012-07-27
2012,eaba,nmveld,2012-06-01,2012-07-27
2012,lkri,apopovkina,2012-06-17,2012-07-18
2012,lkri,gsedash,2012-06-17,2012-07-18
2012,made,lpirie,2012-06-29,2012-07-10
2012,made,lpirie,2012-06-01,2012-06-13
2012,made,jpanipak,2012-06-01,2012-06-28
2012,made,asmith,2012-06-01,2012-07-10
2012,made,fsmith,2012-06-01,2012-07-10
2012,made,kbeckmann,2012-06-01,2012-07-10
2012,nome,aguerra,2012-05-19,2012-05-25
2012,nome,bksandercock,2012-05-19,2012-06-04
2012,nome,mharing,2012-05-12,2012-07-16
2012,nome,dhodkinson,2012-05-12,2012-07-25
2012,nome,sfranks,2012-05-12,2012-07-25
2012,prba,cpham,2012-06-02,2012-07-21
2012,prba,jlautenbach,2012-06-02,2012-07-21
2012,prba,jwebber,2012-06-02,2012-07-21
2013,barr,rlanctot,2013-06-02,2013-06-06
2013,barr,dkessler,2013-06-18,2013-06-23
2013,barr,amould,2013-06-22,2013-07-03
2013,barr,jdanby,2013-06-22,2013-07-03
2013,barr,rlanctot,2013-06-20,2013-07-05
2013,barr,vloverti,2013-06-01,2013-07-03
2013,barr,wenglish,2013-06-07,2013-07-13
2013,barr,bkaselow,2013-06-03,2013-08-10
2013,barr,lrenzel,2013-06-03,2013-08-10
2013,barr,fstetler,2013-06-02,2013-08-10
2013,barr,jcunningham,2013-05-23,2013-08-01
2013,barr,pherzog,2013-05-23,2013-08-01
2013,barr,kgrond,2013-05-24,2013-08-10
2013,burn,dedwards,2013-06-22,2013-07-03
2013,burn,estroud,2013-06-22,2013-07-03
2013,burn,zharris,2013-06-22,2013-07-03
2013,burn,kabraham,2013-06-09,2013-06-22
2013,burn,mpeck,2013-06-09,2013-06-22
2013,burn,nkirby,2013-06-09,2013-06-22
2013,burn,shart,2013-06-09,2013-06-22
2013,burn,kbennett,2013-06-08,2013-06-22
2013,burn,mburrell,2013-06-05,2013-06-22
2013,burn,jcaville,2013-06-05,2013-07-03
2013,burn,jbelliveau,2013-06-05,2013-07-03
2013,bylo,ereed,2013-07-04,2013-07-14
2013,bylo,jbety,2013-06-26,2013-07-14
2013,cakr,tfarrugia,2013-06-14,2013-06-28
2013,cakr,rhunnewell,2013-05-24,2013-06-28
2013,cakr,jkardiak,2013-05-24,2013-07-10
2013,cakr,fylin,2013-05-24,2013-07-11
2013,cakr,mboldenow,2013-05-24,2013-07-11
2013,cari,sfreeman,2013-06-03,2013-07-21
2013,cari,abradley,2013-06-02,2013-06-15
2013,cari,rchurchwell,2013-06-11,2013-06-26
2013,cari,idavies,2013-06-02,2013-07-15
2013,cari,bhiggins,2013-06-02,2013-07-18
2013,cari,hhelling,2013-06-02,2013-07-21
2013,cari,sfreeman,2013-06-02,2013-07-21
2013,chau,anja,2013-06-06,2013-07-09
2013,chau,kpietrzak,2013-06-06,2013-07-09
2013,chau,mmudge,2013-06-06,2013-07-09
2013,chur,enol,2013-06-17,2013-06-25
2013,chur,ajohnson,2013-06-03,2013-06-21
2013,chur,fsanders,2013-06-13,2013-07-04
2013,chur,rhildebrandt,2013-07-04,2013-07-26
2013,chur,dturner,2013-06-12,2013-07-12
2013,chur,lkoloski,2013-05-31,2013-07-19
2013,chur,dgough,2013-06-10,2013-07-29
2013,chur,mheung,2013-05-31,2013-07-20
2013,chur,canderson,2013-05-31,2013-08-02
2013,chur,jperz,2013-05-31,2013-08-03
2013,chur,cbrunner,2013-05-31,2013-08-08
2013,colv,dward,2013-06-18,2013-07-12
2013,colv,jhixon,2013-07-06,2013-08-04
2013,colv,bwilkinson,2013-05-30,2013-07-12
2013,colv,epero,2013-05-30,2013-08-04
2013,colv,rharned,2013-05-30,2013-08-04
2013,colv,scarvey,2013-05-30,2013-08-04
2013,colv,khogrefe,2013-05-16,2013-08-07
2013,colv,tdonnelly,2013-05-16,2013-08-07
2013,eaba,psmith,2013-06-17,2013-06-27
2013,eaba,lpollock,2013-06-16,2013-07-25
2013,eaba,akataluk-primeau,2013-06-04,2013-07-25
2013,eaba,egirard,2013-06-04,2013-07-25
2013,eaba,sjeswiet,2013-06-04,2013-07-25
2013,iglo,nboulanger-lapointe,2013-06-23,2013-06-25
2013,iglo,gszor,2013-08-29,2013-08-31
2013,iglo,mqrunnut,2013-06-24,2013-07-05
2013,iglo,magiroux,2013-06-15,2013-07-28
2013,ikpi,jliebezeit,2013-06-09,2013-06-18
2013,ikpi,mjones,2013-06-10,2013-06-29
2013,ikpi,ojames,2013-06-04,2013-07-18
2013,ikpi,ancook,2013-06-04,2013-07-19
2013,ikpi,epayne,2013-06-04,2013-07-19
2013,lkri,apopovkina,2013-06-20,2013-07-24
2013,lkri,jloshchagina,2013-06-20,2013-07-24
2013,made,gmccune,2013-06-06,2013-06-30
2013,made,abuckley,2013-06-06,2013-07-12
2013,made,fsmith,2013-06-06,2013-07-12
2013,made,kbeckmann,2013-06-06,2013-07-12
2013,made,lbachellier,2013-06-06,2013-07-12
2013,nome,wenglish,2013-06-06,2013-06-07
2013,nome,sfranks,2013-05-12,2013-06-13
2013,nome,dborden,2013-05-12,2013-07-17
2013,nome,ekwon,2013-05-12,2013-07-17
2013,nome,triecke,2013-05-12,2013-07-17
2013,prba,brobinson,2013-06-03,2013-07-22
2013,prba,cdavis,2013-06-03,2013-07-22
2014,barr,dkessler,2014-06-23,2014-06-26
2014,barr,rlanctot,2014-05-30,2014-06-05
2014,barr,dhodkinson,2014-07-05,2014-07-14
2014,barr,ekwon,2014-07-05,2014-07-14
2014,barr,kkalasz,2014-06-29,2014-07-12
2014,barr,vloverti,2014-06-09,2014-06-24
2014,barr,ssaalfeld,2014-07-05,2014-07-20
2014,barr,rlanctot,2014-06-20,2014-07-08
2014,barr,tdoyle,2014-06-01,2014-06-23
2014,barr,mballvanzee,2014-07-14,2014-08-08
2014,barr,asterling,2014-06-02,2014-07-02
2014,barr,kgrond,2014-05-17,2014-07-02
2014,barr,jmarin,2014-06-02,2014-08-10
2014,barr,mallen,2014-05-15,2014-07-31
2014,barr,ssheedy,2014-05-15,2014-08-08
2014,barr,jcunningham,2014-05-15,2014-08-10
2014,barr,wenglish,2014-05-15,2014-08-10
2014,burn,sbennett,2014-06-24,2014-06-30
2014,burn,mgibson,2014-06-24,2014-06-30
2014,burn,mpeck,2014-06-10,2014-06-24
2014,burn,gracey,2014-06-10,2014-06-24
2014,burn,bdalziel,2014-06-10,2014-06-24
2014,burn,kbennett,2014-06-10,2014-06-30
2014,burn,lpollock,2014-06-10,2014-06-30
2014,burn,dmcrae,2014-06-10,2014-06-30
2014,burn,mevers,2014-06-10,2014-06-30
2014,burn,rnakoochee,2014-06-10,2014-06-30
2014,bylo,ereed,2014-06-26,2014-07-06
2014,bylo,jbety,2014-06-26,2014-07-15
2014,bylo,proyer-boutin,2014-06-21,2014-07-20
2014,bylo,jflamarre,2014-06-08,2014-08-04
2014,bylo,fsgagnon,2014-06-08,2014-08-04
2014,bylo,djleandry,2014-06-08,2014-08-10
2014,cakr,mboldenow,2014-05-21,2014-07-07
2014,cakr,mmcconnell,2014-05-21,2014-07-07
2014,cakr,jeschenroeder,2014-05-21,2014-07-07
2014,cakr,jhughey,2014-05-21,2014-07-07
2014,cari,mcorrell,2014-06-23,2014-07-10
2014,cari,cmontgomerie,2014-06-03,2014-06-23
2014,cari,bhiggins,2014-06-03,2014-07-16
2014,cari,emagnuson,2014-06-03,2014-07-16
2014,cari,idavies,2014-06-03,2014-07-21
2014,chau,dsolovyeva,2014-06-10,
2014,chau,svartanyan,2014-06-10,
2014,chau,amylnikova,2014-06-10,
2014,chau,gdanilov,2014-06-10,
2014,chau,jdiener,2014-06-10,2014-07-08
2014,chau,lgoodrick,2014-06-10,2014-07-08
2014,chau,amatsyna,2014-06-10,2014-07-08
2014,chau,kmatsyna,2014-06-10,2014-07-08
2014,chau,gpavlyukov,,
2014,chur,lmckinnon,2014-06-06,2014-06-11
2014,chur,enol,2014-05-29,2014-06-04
2014,chur,fsanders,2014-06-16,2014-07-02
2014,chur,jperz,2014-06-02,2014-07-10
2014,chur,cmurchison,2014-06-02,2014-07-12
2014,chur,tmankis,2014-06-12,2014-08-07
2014,chur,lkoloski,2014-05-29,2014-07-27
2014,chur,gholmes,2014-05-30,2014-07-30
2014,chur,codwyer,2014-06-06,2014-08-07
2014,chur,jrobinson,2014-06-05,2014-08-08
2014,chur,nmacdonald,2014-05-29,2014-08-08
2014,coat,bwinn,2014-06-14,2014-06-28
2014,coat,sschulte,2014-06-14,2014-06-28
2014,coat,sflemming,2014-06-06,2014-07-24
2014,coat,kreischke,2014-06-06,2014-07-24
2014,coat,sneima,2014-06-06,2014-07-24
2014,colv,mjones,2014-06-10,2014-06-29
2014,colv,dward,2014-06-20,2014-07-12
2014,colv,jhupp,2014-05-23,2014-07-02
2014,colv,wkennerley,2014-05-24,2014-08-04
2014,colv,lburlingame,2014-05-24,2014-08-04
2014,colv,agottesman,2014-05-24,2014-08-04
2014,colv,tdonnelly,2014-05-24,2014-08-12
2014,colv,khogrefe,2014-05-24,2014-08-12
2014,eaba,lkennedy,,
2014,eaba,sparmiter,,
2014,eaba,jgale,,
2014,eaba,edavis,,
2014,eaba,vputinski,,
2014,iglo,aissisgaitok,2014-07-24,2014-07-25
2014,iglo,dattagutaluk,2014-07-24,2014-07-25
2014,iglo,mqrunnut,2014-07-10,2014-07-25
2014,iglo,ataqtaq,2014-06-23,2014-07-25
2014,iglo,mtrottier-paquet,2014-06-01,2014-07-27
2014,iglo,mcfrenette,2014-06-01,2014-08-01
2014,iglo,nlecomte,2014-06-01,2014-08-02
2014,iglo,magiroux,2014-06-01,2014-08-02
2014,ikpi,pchilton,2014-06-03,2014-07-21
2014,ikpi,mdodds,2014-06-03,2014-07-21
2014,ikpi,rhammond,2014-06-03,2014-07-21
2014,made,pwoodard,2014-06-04,2014-07-14
2014,made,fsmith,2014-06-04,2014-07-14
2014,made,canderson,2014-06-04,2014-07-14
2014,made,tkydd,2014-06-04,2014-07-14
2014,made,lbachellier,2014-06-04,2014-07-14
2014,nome,eweiser,2014-05-24,2014-06-05
2014,nome,sfranks,2014-05-24,2014-06-13
2014,nome,ekwon,2014-05-16,2014-07-05
2014,nome,dhodkinson,2014-05-14,2014-07-05
2014,prba,mjones,2014-06-10,2014-06-29
2014,prba,chelms,,
2014,prba,ksheimreif,,
